Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,7th floor parking garage,Seattle,WA,98188,,206-787-5388,E,,Public,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,A Cash CREDIT D Debit M V,,,,,68,,,Non-Networked,,200-8,47.443377,-122.296229,2025-06-06,33717,2025-06-06 18:42:11 UTC,P,,,2010-03-01,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,$8.00 per hour parking fee; $37.00 per day parking fee,,,,,,,,,NONE,false,,,,,,,,LD,false,
ELEC,Avista Corp,1411 E Mission Ave,,Spokane,WA,99252,,509-489-0500,E,,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,2,,,Non-Networked,,GPS,47.673347,-117.388933,2023-06-12,35620,2025-11-04 20:46:59 UTC,P,,,2010-04-15,,,,,J1772 NEMA520,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Steam Plant Parking,130 S Post St,,Spokane,WA,99201,,800-227-9187,E,,Public,24 hours daily,,,,,,6,,,Non-Networked,,GPS,47.65579218,-117.4236637,2023-04-06,35621,2025-11-04 20:46:40 UTC,P,,,2010-04-15,,,,,J1772,US,,,,Public,,public,,,RESTAURANT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,BELLEVUE BELLEVUE CH 1,450 110th Ave NE,Visitor Parking. First Left-hand Turn.,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.614744,-122.193162,2026-01-04,37181,2026-01-04 01:17:59 UTC,,,,2010-12-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,KING COUNTY DES ISSAQUAH P&R 2,1755 Highlands Dr NE,garage,Issaquah,WA,98027,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.545324,-122.0195,2026-01-04,38082,2026-01-04 01:39:57 UTC,,,,2008-02-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,King County - King County Van Distribution Center,18655 NE Union Hill Rd,Off NE Union Hill Road between 188th Ave NE and 178th Pl NE,Redmond,WA,98052,,,E,,Private,Fleet use only,,,,,,3,,,Non-Networked,,200-9,47.675897,-122.091237,2025-07-03,38083,2025-07-03 19:15:09 UTC,LG,,,2011-07-15,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,UWB CASCADIA CC NORTH LEVEL 3 N,18500 Campus Way NE,Just to the right as you enter the north garage.,Bothell,WA,98011,,888-758-4389,E,,Public,Mon: 6:00am-10:00pm; Tue: 6:00am-10:00pm; Wed: 6:00am-10:00pm; Thu: 6:00am-10:00pm; Fri: 6:00am-10:00pm; Sat: 6:00am-10:00pm; Sun: 6:00am-10:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.761878,-122.191915,2026-01-04,38952,2026-01-04 01:13:14 UTC,,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,CITY OF REDMOND CITY HALL DUAL,15670 NE 85th St,,Redmond,WA,98052,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.679224,-122.12995,2026-01-05,38959,2026-01-05 01:07:13 UTC,,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,CITY OF REDMOND MOC #1 PUBLIC,18080 NE 76th St,,Redmond,WA,98052,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.672359,-122.099034,2026-01-05,38966,2026-01-05 01:07:12 UTC,,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,WILLOWS LODGE WILLOWS #2,14580 NE 145th St,Just past the main entrance on the right,Woodinville,WA,98072,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,47.734211,-122.147041,2026-01-04,38976,2026-01-04 01:23:35 UTC,,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
